feature,gain,split
name_exact,7.2656097412109375,2
name_levenshtein,461.37564954161644,161
name_jaro,399.32798007130623,111
name_jaro_winkler,154.46695393323898,45
name_jaccard,262.7042337357998,95
name_overlap,11.079245835542679,8
name_containment,0.0,0
name_token_set,394.15772464871407,95
name_token_sort,706.3267363160849,120
name_prefix,511.6344887316227,140
name_length_ratio,524.6980664283037,206
name_missing,0.0,0
tname_exact,0.0,0
tname_levenshtein,1035.5086386054754,208
tname_jaro,2483.3279089331627,149
tname_jaro_winkler,4231.2875187397,171
tname_jaccard,152.43136742711067,55
tname_overlap,67.40320935845375,33
tname_containment,0.0,0
tname_token_set,871.0383462905884,114
tname_token_sort,627.6527727395296,144
tname_prefix,792.2517821788788,156
tname_length_ratio,125.32807704806328,55
tname_missing,0.0,0
address_exact,0.0,0
address_levenshtein,582.6896962225437,99
address_jaro,80.76273737847805,32
address_jaro_winkler,27.97932541370392,11
address_jaccard,262.2551797926426,58
address_overlap,177.06186348199844,73
address_containment,0.0,0
address_token_set,421.2770930826664,88
address_token_sort,146.9147407412529,46
address_prefix,966.8228061795235,110
address_length_ratio,3447.0806269198656,171
address_missing,179.19701325893402,5
taddress_exact,0.0,0
taddress_levenshtein,127.71433228254318,41
taddress_jaro,230.40137013792992,62
taddress_jaro_winkler,90.12269079685211,26
taddress_jaccard,6.124999940395355,5
taddress_overlap,74.15875577926636,19
taddress_containment,0.0,0
taddress_token_set,506.0900579839945,106
taddress_token_sort,479.6510117352009,138
taddress_prefix,646.2495298534632,42
taddress_length_ratio,199.41866838932037,69
taddress_missing,0.0,0
core_exact,0.9335070252418518,1
name_char_cosine,386.62181916832924,114
name_word_cosine,607.6824877262115,102
address_char_cosine,2174.2281497865915,116
address_word_cosine,2258.823564976454,105
tname_char_cosine,6539.249803096056,258
tname_word_cosine,5221.541122943163,276
taddress_char_cosine,955.7368664443493,97
taddress_word_cosine,152808.74156436324,158
rare_name_token_overlap,6.196871042251587,10
numeric_jaccard,2321.4542836099863,190
number_intersection,5.5801098346710205,2
numeric_conflict,2671.795275762677,181
house_equal,397.7031206935644,56
postal_equal,10.578822016716003,5
postal_conflict,8.628250002861023,5
postal_missing,15.426153033971786,16
country_equal,0.0,0
country_different,0.0,0
country_missing,0.0,0
script_match,0.0,0
script_mismatch,3.7800899744033813,3
high_name_high_address,2001.7335655242205,15
high_name_low_address,2.8189200162887573,2
low_name_high_address,0.5299509763717651,1
tfidf_name_score,146.1860103905201,56
tfidf_name_present,0.0,0
tfidf_address_score,149.44137850403786,54
tfidf_address_present,0.0,0
tfidf_tname_score,901.6744772046804,92
tfidf_tname_present,0.0,0
tfidf_taddress_score,338.80206179618835,70
tfidf_taddress_present,0.0,0
bm25_name_score,266.67415280640125,125
bm25_name_present,0.4308890104293823,2
bm25_address_score,841.3670117110014,170
bm25_address_present,0.0,0
bm25_tname_score,13686.16844573617,234
bm25_tname_present,0.0,0
bm25_taddress_score,60.868098959326744,28
bm25_taddress_present,0.0,0
retrieval_channel_count,110072.73951381445,187
multiple_channels,0.0,0
